"owner_profile_page","position_on_page","database_id","question_id","subject","topic","question","options","saved_answer","picture_status","student_status","picture_link_in_website","source","what_to_send_back"
"3","1","1350127","biology_0413","Biology","Plant and mammal structure","From the diagram above the part labelled IV represents the","A. colon | B. ileum | C. caecum | D. duodenum","D. duodenum","Has picture","Students can see","/manus-storage/biology-0413-schoolngr-source-only-v2_75d0867c.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","2","1350134","biology_0420","Biology","Heredity","In the diagram, the part labelled I represents the","A. base pairs | B. ribose sugar | C. phosphate linkage | D. deoxyri-bose sugar","C. phosphate linkage","Needs picture","Held from students","","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","3","1350176","biology_0470","Biology","Reproduction","Use the diagram above to answer this question. The process illustrated is","A. gametogenesis | B. sporulation | C. sexual reproduction in Spirogyra | D. sexual reproduction in Rhizopus","D. sexual reproduction in Rhizopus","Has picture","Students can see","/manus-storage/biology-0483-testdriller-original_eb32af79.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","4","1350181","biology_0480","Biology","Heredity","Use the diagram above to answer this question. If the dogs are offspring of a monohybrid cross and the gene G for grey head is dominant over its allele g, the individual whose genotype is likely to be gg is","A. II | B. I | C. IV | D. III","C. IV","Has picture","Students can see","/manus-storage/biology-0480-testdriller-original_4eb6cef1.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","5","1350182","biology_0481","Biology","Transport","Use the diagram above to answer this question. The part labelled l is the","A. pulmonary artery | B. vena cava | C. aorta | D. bicuspid valve","B. vena cava","Needs picture","Held from students","","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","6","1350184","biology_0483","Biology","Theories of evolution","Use the diagram above to answer this question. The structure labelled l is the","A. sporangium | B. hypha | C. zygospore | D. conidiospore","C. zygospore","Has picture","Students can see","/manus-storage/biology-0483-testdriller-original_eb32af79.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","7","1350201","biology_0501","Biology","Reproduction","Use the diagram above to answer this question. The male inflorescence is labeled","A. i | B. ii | C. iii | D. iv","A. i","Has picture","Students can see","/manus-storage/biology-0501-testdriller-original_53441b7a.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","8","1350202","biology_0502","Biology","Reproduction","Use the diagram above to answer this question. The type of reproduction illustrated in IV is","A. sexual | B. conjugation | C. binary fission | D. budding","D. budding","Has picture","Students can see","/manus-storage/biology-0502-testdriller-original_eea7904a.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","9","1350205","biology_0505","Biology","Theories of evolution","Use the diagram above to answer this question. Which of the organisms is characterised by the possession of a chitinous exoskeleton?","A. I | B. II | C. III | D. IV","A. I","Has picture","Students can see","/manus-storage/biology-0502-testdriller-original_eea7904a.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","10","1350214","biology_0515","Biology","Natural habitats","In the diagram, the part labelled IV indicated that the yeast population has","A. reached its maximum size | B. reached senescence | C. stopped metabolizing food | D. started dying","A. reached its maximum size","Needs picture","Held from students","","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","11","1350216","biology_0518","Biology","Support and movement","Use the diagram above to answer this question. The animal represented by I is a","A. poikilotherm | B. homoiotherm | C. carnivore | D. herbivore","B. homoiotherm","Has picture","Students can see","/manus-storage/biology-0518-myschool-original_32575fb8.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","12","1350221","biology_0523","Biology","Excretion","Use the diagram above to answer this question. Water reabsorption takes place in","A. II and III | B. III and IV | C. I and IV | D. I and III","B. III and IV","Has picture","Students can see","/manus-storage/biology-0523-testdriller-original_f9b78c24.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","13","1350224","biology_0527","Biology","Support and movement","Use the diagram above to answer this question. From the graph above, it can be appropriately deduced that","A. the body temperature in II varies with that in I | B. the body temperature in I is independent of external temperature | C. I and II maintain constant body temperature | D. external temperatures affect the body temperature of I and II","B. the body temperature in I is independent of external temperature","Has picture","Students can see","/manus-storage/biology-0527-testdriller-original_8ece4a3c.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","14","1350231","biology_0536","Biology","Transport","Use the diagram above to answer this question. The structure that controls loss of water vapour during transpiration is labelled","A. I | B. II | C. III | D. IV","D. IV","Has picture","Students can see","/manus-storage/biology-0536-testdriller-original_a59c4d17.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","15","1350239","biology_0546","Biology","Plant and mammal structure","Use the diagram above to answer this question. The part labelled I is the","A. spongy mesophyll | B. upper epidermis | C. cuticle | D. vein","C. cuticle","Has picture","Students can see","/manus-storage/biology-0536-testdriller-original_a59c4d17.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","16","1350243","biology_0551","Biology","Nutrition and digestion","Use the diagram above to answer this question. Emulsification of fats takes place in the part labelled?","A. I | B. II | C. III | D. IV","D. IV","Has picture","Students can see","/manus-storage/biology-0551-testdriller-original_7dc25806.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","17","1350244","biology_0552","Biology","Nutrition and digestion","Use the diagram above to answer this question. The content of the part labelled III is usually?","A. neutral | B. alkaline | C. acidic | D. saline","C. acidic","Has picture","Students can see","/manus-storage/biology-0552-testdriller-original_2097df8d.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","18","1350251","biology_0562","Biology","Nutrition and digestion","Use the diagram above to answer this question. During photosynthesis, the arrow labeled II represents the?","A. escape of mineral salts | B. absorption of energy from the sun | C. release of carbon (IV) oxide | D. release of oxygen as a by-product","D. release of oxygen as a by-product","Has picture","Students can see","/manus-storage/biology-0562-testdriller-original_301dd58c.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","19","1350256","biology_0569","Biology","Nutrition and digestion","Use the diagram above to answer this question based on the shape and structure of the beak and feet, the bird represented is likely to feed mainly on?","A. flesh | B. fruits | C. seeds | D. nectar","A. flesh","Has picture","Students can see","/manus-storage/biology-0569-testdriller-original_ec8a36e9.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","20","1350259","biology_0574","Biology","Reproduction","Use the diagram above to answer this question. With respect to their decreasing dependence on aquatic conditions for reproduction, which of the following is the correct arrangement of the animals represented?","A. I, IV, II and III | B. IV, III, II and I | C. I, II, IV and III | D. III, II, IV and I","B. IV, III, II and I","Has picture","Students can see","/manus-storage/biology-0574-testdriller-original_23e441c0.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","1","1350263","biology_0583","Biology","Natural habitats","Use the diagram above to answer this question. In which plantation are all the trees between the height of 2-4m?","A. III | B. II | C. I | D. IV","A. III","Has picture","Students can see","/manus-storage/biology-0583-testdriller-original_99e7eb08.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","2","1350264","biology_0584","Biology","Natural habitats","Use the diagram above to answer this question. Which of the following is a true feature of plantation II?","A. it has the highest number of trees of about 2m high | B. it has highest number of trees | C. it has the highest number of tall trees | D. the height of all its trees range between 2m and 6m","A. it has the highest number of trees of about 2m high","Has picture","Students can see","/manus-storage/biology-0583-testdriller-original_99e7eb08.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","3","1350274","biology_0600","Biology","Respiration","Use the diagram above to answer this question. The gas evolved in the process is","A. carbon (IV) oxide | B. nitrogen | C. oxygen | D. carbon (II) oxide","A. carbon (IV) oxide","Has picture","Students can see","/manus-storage/biology-0600-schoolngr-original_413d60ab.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","4","1350313","biology_0645","Biology","Population ecology","Use the diagram above to answer this question. The graph illustrates","A. the highest frequency for height of 2 metres | B. a discontinuously varying character | C. a continuously varying character | D. total yield in a cassava farm","C. a continuously varying character","Has picture","Students can see","/manus-storage/biology-0645-myschool-original_3340a9ed.jpg","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","5","1350315","biology_0649","Biology","Reproduction","Use the diagram above to answer this question. The function of the part labelled III is to","A. produce egg cells | B. protect sperms during fertilization | C. secrete hormones during coitus | D. protect the developing embryo","A. produce egg cells","Has picture","Students can see","/manus-storage/biology-0649-myschool-original_0ce93479.jpg","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
